keyword,has_demand,competition,score,intent,search_type,ai_title_suggestion
베를린 휴민트 사건 정리,O,3,25.0,정보형,롱테일,"베를린 휴민트 사건 완전 정리 | 영화 속 실화 배경 해설"
휴민트 루민트 차이점,O,1,50.0,정보형,롱테일,"휴민트 vs 루민트 차이점 완벽 정리 | 정보기관 용어 해설"
휴민트 실화 사건,O,5,16.7,정보형,롱테일,"영화 휴민트 실화 사건 정리 | 베를린 간첩 사건의 진실"
영화 휴민트 줄거리,O,12,7.7,탐색형,일반,"영화 휴민트 줄거리 요약 + 결말 포함 | 베를린 첩보전 완전 해설"
휴민트 국정원,O,8,11.1,정보형,롱테일,"휴민트 국정원 연계 분석 | 영화가 담은 실제 정보기관 이야기"
휴민트 촬영지,O,2,33.3,탐색형,롱테일,"영화 휴민트 촬영지 총정리 | 베를린 로케이션 완벽 가이드"
휴민트 미국 개봉일,O,0,100.0,거래형,롱테일,"영화 휴민트 미국 개봉일 확정 | 해외 반응 및 기대 포인트"
이중 휴민트 무빙,O,1,50.0,비교형,롱테일,"이중 휴민트 뜻 | 드라마 무빙과 영화 휴민트의 공통점"
휴민트 OST 가사,O,0,100.0,탐색형,롱테일,"영화 휴민트 OST 가사 전문 + 해석 | 감성 첩보 사운드트랙"
영화 휴민트 넷플릭스,O,45,2.2,거래형,일반,"영화 휴민트 넷플릭스 출시일 | OTT 공개 일정 총정리"
